FIP;County_Name;pop1970;pop1971;pop1972;pop1973;pop1974;pop1975;pop1976;pop1977;pop1978;pop1979;pop1980;pop1981;pop1982;pop1983;pop1984;pop1985;pop1986;pop1987;pop1988;pop1989;pop1990;pop1991;pop1992;pop1993;pop1994;pop1995;pop1996;pop1997;pop1998;pop1999;pop2000;pop2001;pop2002;pop2003;pop2004;pop2005;pop2006;pop2007;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016
48385;Real County;2013;2000;2100;2200;2100;2200;2200;2200;2200;2300;2469;2567;2524;2583;2507;2424;2301;2288;2272;2480;2410;2428;2476;2468;2456;2590;2692;2659;2701;2727;3062;2980;2943;2986;2967;2945;3016;3018;2927;2925;3320;3424;3368;3321;3359;3307;3307
48387;Red River County;14298;14900;15400;15400;15400;15600;15600;15800;15800;15800;16101;16074;15803;15921;15753;15557;15200;15201;14896;14609;14245;14120;13948;13927;13885;13891;13915;13775;13740;13685;14286;14176;13927;13693;13580;13421;13215;13063;12918;12765;12854;12697;12714;12496;12472;12455;12455
48389;Reeves County;16526;16600;16400;16000;16300;16500;16300;15900;15600;15800;15801;16384;17257;17256;17071;17026;17023;16545;16463;16010;15759;15629;15437;15498;15163;14962;14863;14569;14308;14020;13050;12684;12415;12031;11572;11263;11078;11104;11011;11046;13816;13774;13911;14089;14391;14732;14732
48391;Refugio County;9494;9600;9400;9100;8600;8600;8700;8700;8700;8800;9289;9403;9379;9444;9115;8884;8851;8698;8455;8192;7930;7826;7860;7784;7764;7776;7873;7888;7899;7735;7824;7751;7632;7511;7565;7517;7451;7320;7306;7225;7360;7309;7236;7247;7302;7289;7289
48393;Roberts County;967;1000;1000;1000;1000;1000;1000;1100;1200;1100;1187;1170;1224;1191;1112;1123;1105;1078;1004;977;1040;1007;1026;1002;996;963;976;991;936;924;883;872;847;804;815;822;811;843;856;878;925;933;951;921;921;916;916
48395;Robertson County;14389;14500;14900;14700;14500;14600;14400;14500;14400;14800;14653;15178;15452;15850;16075;16228;16044;15735;15511;15558;15500;15441;15345;15333;15464;15550;15454;15435;15613;15762;16033;16023;15840;15777;15856;15977;15937;15819;15710;15706;16571;16669;16455;16428;16448;16659;16659
48397;Rockwall County;7046;7400;7700;8900;9600;9600;10200;10900;12000;13500;14528;15576;16644;17371;18803;20721;22476;24079;24059;24744;25891;27183;28941;30121;31493;32716;34108;35581;37202;39489;43880;47114;50819;54472;57969;62302;68653;73947;77775;81391;78960;81100;82928;85154;87635;90861;90861
48399;Runnels County;12108;12000;12200;11700;11700;11700;11600;11600;11600;11800;11872;11931;12206;12416;12749;12550;12423;12199;11872;11585;11225;11075;10971;11015;11150;11268;11300;11434;11518;11337;11476;11138;10958;10741;10674;10707;10429;10322;10250;10170;10505;10560;10421;10286;10406;10551;10551
48401;Rusk County;34102;34700;35800;36400;37400;37800;38400;39600;40500;41100;41382;41994;43274;44168;43998;43926;43681;43924;43968;43618;43739;43831;43880;43942;44139;45112;45291;45455;45743;45819;47359;47378;47406;47302;47537;47666;47974;48450;48949;49180;53338;53692;53835;53420;53270;53070;53070
48403;Sabine County;7187;7200;7500;7800;7700;7900;7900;8100;8300;8500;8702;8817;8955;9275;9468;9513;9507;9470;9564;9613;9571;9664;9618;9880;10093;10358;10472;10564;10513;10553;10444;10419;10401;10336;10287;10170;10245;10147;10114;10208;10865;10679;10464;10348;10339;10368;10368
