FIP;County_Name;pop1970;pop1971;pop1972;pop1973;pop1974;pop1975;pop1976;pop1977;pop1978;pop1979;pop1980;pop1981;pop1982;pop1983;pop1984;pop1985;pop1986;pop1987;pop1988;pop1989;pop1990;pop1991;pop1992;pop1993;pop1994;pop1995;pop1996;pop1997;pop1998;pop1999;pop2000;pop2001;pop2002;pop2003;pop2004;pop2005;pop2006;pop2007;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016
48001;Anderson County;27789;29500;30700;30600;30900;32100;33500;34800;36500;38000;38381;40730;41873;44378;45215;46020;46495;46256;48084;48602;47914;47983;48060;48943;49628;51676;51809;52118;52121;52209;55068;54110;54365;55573;55573;56031;56381;56754;56709;57001;58485;58355;58010;57889;57742;57580;57580
48003;Andrews County;10372;11000;11100;10600;10800;11700;11900;12000;12400;12800;13323;14076;15142;15742;15752;16345;16509;15329;14968;14476;14284;14472;14448;14140;14185;14002;13910;13945;14047;13738;12911;12769;12887;12816;12794;12743;12868;13144;13662;14057;14835;15393;16121;16800;17457;18105;18105
48005;Angelina County;49349;51500;53100;54200;54600;55900;57400;58400;60400;62000;64172;65914;67879;68337;68314;68500;69088;68311;68777;69589;69976;70759;71902;73004;74054;74642;75366;76334;77290;77587;80245;79983;80263;80662;80926;81126;82097;82585;82841;83675;86917;87325;87623;87661;87875;88255;88255
48007;Aransas County;8902;9700;10400;10600;10800;11300;11700;12300;13200;14000;14260;14908;16105;16519;17259;17707;18128;17972;18060;17954;17879;18404;19090;19611;20737;21072;21741;22480;22819;23129;22537;22517;23007;23384;23748;24405;24388;24327;24549;24826;23200;23325;23688;24162;24933;25350;25350
48009;Archer County;5759;5700;5800;6100;6100;6300;6400;6500;6700;7000;7266;7537;7651;7954;8099;8041;8069;7980;8007;7963;7977;7751;7701;7823;7952;8144;8229;8213;8282;8256;8917;8797;8882;8936;8987;8962;8937;8894;8973;8912;9108;8836;8781;8754;8808;8715;8715
48011;Armstrong County;1895;1900;1700;1900;1700;1800;1900;1900;1900;1900;1994;2006;1967;2045;2022;2054;2197;2175;2108;2043;2020;1943;1945;2025;2071;2099;2142;2186;2156;2196;2166;2149;2071;2053;2094;2124;2093;2059;2084;2065;1899;1931;1945;1957;1948;1947;1947
48013;Atascosa County;18696;19200;20000;21100;21200;21700;22000;22800;23500;24500;25055;25595;26475;27586;28251;28746;29426;29912;30526;30502;30545;31138;31451;31870;32683;33748;34676;35344;36389;37442;38874;39874;40823;41306;42079;42458;43009;43594;43925;44633;44964;45473;46452;47077;47812;48435;48435
48015;Austin County;13831;14200;14100;14600;14700;15000;15200;15700;16200;17000;17726;18363;19408;20148;20588;20794;20812;20226;19638;19526;19909;20276;20812;21414;21754;22250;22624;22957;23401;23843;23745;24191;24580;25033;25518;25762;26139;26656;27032;27248;28379;28598;28560;28713;28994;29563;29563
48017;Bailey County;8487;8400;8700;8600;8500;8600;8300;8200;8000;8100;8168;8313;8138;8172;7899;7769;7823;7477;7376;7258;7035;6929;6791;6726;6686;6795;6780;6773;6846;6717;6583;6539;6448;6501;6557;6534;6422;6282;6289;6273;7154;7192;7136;7130;6960;7210;7210
48019;Bandera County;4747;4900;5200;5800;5700;6000;6000;6300;6500;6700;7084;7173;7559;8098;8551;9109;9377;9798;10118;10376;10622;10765;11085;11687;12543;13495;14273;14946;15816;16611;17811;18197;18731;19117;19294;19483;19821;20318;20501;20560;20551;20556;20616;20621;20916;21269;21269
48021;Bastrop County;17297;18500;19500;20400;20900;21200;21600;22200;22700;24100;24726;26437;28439;29667;32045;34545;37166;38076;38509;38496;38201;38573;39489;40567;42315;44353;46894;48834;50438;52561;58293;61278;63774;66149;67559;68769;70375;72184;73436;74876;74329;75147;74886;76032;78148;80527;80527
48023;Baylor County;5221;5200;5100;5200;5000;4900;4900;4800;4700;4800;4919;5035;5229;5240;5156;4858;4907;4739;4670;4462;4361;4260;4244;4215;4222;4216;4191;4155;4157;4088;4080;3940;3900;3931;3932;3854;3833;3860;3723;3677;3717;3711;3616;3607;3586;3618;3618
48025;Bee County;22737;24000;24600;24300;24400;24800;25000;24900;25100;25600;26030;26573;27262;27909;27633;26536;25920;26537;26290;25869;24962;25187;24580;25593;26110;27603;27702;27918;27739;27534;32251;31815;31972;32852;32635;32439;32378;32437;32325;32487;31886;32309;32440;32759;32911;32874;32874
48027;Bell County;124483;127600;140200;153600;156800;156700;160600;162800;166000;162500;157820;163335;167053;170366;174169;179511;181509;185489;186680;189222;191397;189390;190615;201537;216147;217870;220873;221643;223167;222687;239135;242573;248009;253903;255529;261709;266536;278342;285598;285787;312978;316120;323096;326654;329394;334941;334941
48029;Bexar County;830460;861600;876600;899600;913000;919300;935200;953100;967400;977100;988971;1016859;1046457;1071709;1094803;1122089;1153625;1177581;1178654;1181297;1187593;1205687;1229583;1252932;1269318;1291729;1309673;1336027;1354837;1372867;1397813;1414511;1439835;1462052;1487463;1511506;1550921;1588905;1621304;1651448;1722989;1755901;1789834;1823749;1860274;1897753;1897753
48031;Blanco County;3567;3800;3600;4200;4100;4300;4300;4400;4400;4600;4681;4680;4791;4898;4985;5376;5530;5688;5996;6033;5964;6260;6594;6777;6998;7458;7820;8224;8338;8511;8456;8634;8702;8732;8856;8947;8967;8991;9082;9198;10503;10558;10622;10635;10798;11004;11004
48033;Borden County;888;900;800;800;800;800;800;800;900;900;859;846;975;1011;932;846;849;815;804;820;795;757;721;766;746;783;765;764;766;769;715;676;681;660;664;630;624;586;599;595;643;628;613;638;654;648;648
48035;Bosque County;10966;11500;11800;11900;12000;12200;12500;12700;13000;13500;13401;13420;13779;14141;14304;14421;14626;14862;15075;15042;15122;15379;15556;15729;16101;16416;16655;16678;16548;16699;17235;17330;17416;17541;17716;17785;17797;17785;17604;17631;18258;18248;18114;17870;17734;17891;17891
48037;Bowie County;68909;68600;68700;68100;69100;71300;72300;73100;73700;74700;75301;76125;76898;78525;79188;80607;80657;80888;81498;81167;81842;81975;82361;82937;83406;83489;84065;83611;83287;83509;89247;89224;89190;89300;89652;89933;91091;91564;92655;93964;92675;92684;93006;93400;93298;93389;93389
48039;Brazoria County;108312;112500;115200;118700;123700;130200;136200;143200;152400;161300;169587;175391;179584;184144;186330;187971;188086;185844;185189;188099;192586;198493;202772;207090;211015;214311;218530;223309;228859;234303;243152;248355;255306;261132;267879;274045;283934;293106;301228;309208;314498;319375;324503;330340;338176;346312;346312
48041;Brazos County;57978;60000;64200;69200;74000;72900;76500;79800;86100;90600;93588;102388;112349;116543;118965;121901;123112;122254;121377;121125;121969;122841;125228;129243;130348;130839;130688;132220;132919;134213;152903;154218;156870;159516;161181;163617;167874;170562;174864;179992;195686;197505;200327;204286;209201;215037;215037
48043;Brewster County;7780;7700;8300;7900;7900;7800;7700;7200;7400;7500;7573;7708;7878;8410;8698;8426;8199;8417;8665;8696;8627;8467;8610;8544;8816;9030;9061;8859;8830;8793;8877;8947;9097;9234;9182;9050;9094;9176;9280;9481;9271;9354;9247;9281;9148;9145;9145
48045;Briscoe County;2794;2600;2500;2600;2600;2600;2600;2600;2600;2500;2579;2548;2471;2344;2290;2214;2071;1972;2052;2063;1949;1871;1914;1848;1854;1907;1895;1927;1887;1825;1776;1723;1683;1678;1662;1601;1562;1494;1469;1428;1631;1647;1564;1545;1535;1505;1505
48047;Brooks County;8005;8300;8500;8200;8100;8300;8400;8300;8200;8300;8428;8536;8630;8711;8797;8646;8616;8603;8500;8394;8181;8093;8204;8261;8261;8338;8449;8392;8427;8416;7946;7670;7675;7643;7617;7589;7524;7472;7413;7377;7199;7215;7184;7236;7242;7230;7230
48049;Brown County;25877;27500;28200;28100;29100;30400;31100;31100;31500;32600;33057;33817;34849;35608;35764;34929;34660;34397;34670;34430;34306;34501;34236;34375;35216;36332;36537;36753;36834;36847;37713;37624;37813;37629;37960;38197;38507;38229;38106;38088;38117;38016;37865;37764;37625;37896;37896
48051;Burleson County;9999;10300;10900;11100;11100;11100;11200;11400;11500;11800;12313;13286;14670;14618;14709;14595;14775;14270;13994;13692;13619;13688;13913;14506;14639;14982;15169;15362;15560;15614;16533;16610;16561;16697;16723;16851;16624;16560;16566;16570;17216;17244;17326;17166;17270;17460;17460
48053;Burnet County;11420;12200;13500;14600;15100;15200;15400;16000;16500;17100;17803;18265;19116;20169;21354;22368;23568;24115;23321;22732;22676;22807;23147;24034;25610;27931;29473;30856;32272;34120;34546;35994;37305;38441;39869;40958;42544;43777;44583;45149;42763;43347;43588;43882;44441;45463;45463
48055;Caldwell County;21178;21500;21500;22200;22200;22100;22400;22500;22800;23000;23637;24275;24538;25224;25698;26572;27446;27360;27281;26810;26309;26679;26998;27425;28129;29635;30447;31282;32023;32820;32463;33698;34692;35244;36076;36216;36286;36630;37533;37810;38104;38464;38711;39243;39797;40522;40522
48057;Calhoun County;17831;17900;18200;18100;17800;18400;18400;18700;18900;19400;19574;20387;21181;21576;21210;21010;20736;20314;19536;19071;19055;19413;20034;20350;20526;20499;20613;20628;20590;20426;20665;20662;20381;20315;20347;20278;20319;20296;20453;20573;21327;21349;21559;21734;21791;21895;21895
48059;Callahan County;8205;8400;8700;9000;8900;9300;9700;10000;10400;10800;10992;10909;11796;12528;12832;12747;12618;12624;12303;12210;11776;11812;11877;12062;12283;12324;12563;12748;12796;12915;12917;12714;12800;12887;13105;13208;13215;13309;13342;13426;13518;13535;13519;13528;13520;13557;13557
48061;Cameron County;140368;147800;157500;166900;172200;182800;189400;194700;198900;205500;209727;220184;230718;238878;242355;245894;250996;253714;254410;256512;261693;269166;277166;287950;296948;304459;311522;317719;324046;329131;336443;342262;349544;357097;364330;370735;376882;382703;389164;396371;407626;413130;415977;418071;420400;422156;422156
48063;Camp County;8005;8100;8200;8100;8100;8200;8300;8500;8800;9000;9275;9426;9797;10078;9836;9860;9901;9880;9872;9874;9906;10002;10123;10395;10484;10514;10712;10960;10933;10943;11596;11460;11647;11698;11865;12174;12288;12518;12673;12793;12412;12409;12461;12413;12617;12682;12682
48065;Carson County;6358;6300;6200;6200;6000;6200;6300;6300;6500;6700;6672;6951;7325;7473;7285;7163;7097;7003;6787;6623;6557;6521;6510;6513;6613;6666;6662;6673;6707;6754;6505;6379;6488;6355;6329;6376;6323;6256;6164;6110;6164;6271;6110;5981;6007;5969;5969
48067;Cass County;24133;24100;24800;25900;26400;26900;27200;27600;28200;28900;29430;30077;30710;30595;30414;30410;30341;30149;30315;30029;29978;30143;30104;30346;30307;30495;30595;30656;30745;30620;30405;30014;29868;29676;29545;29444;29339;29350;29237;29203;30430;30499;30184;30369;30274;30313;30313
48069;Castro County;10394;10500;10200;10000;10000;10300;10500;10500;10500;10500;10556;10531;10474;10283;10014;9925;9678;9526;9364;9304;9002;8800;8708;8605;8533;8507;8381;8292;8314;8264;8219;8054;7897;7764;7592;7473;7275;7171;7118;7130;8110;8056;8194;8027;7805;7656;7656
48071;Chambers County;12187;12600;13200;13200;13600;14500;14800;15700;16700;17800;18538;18811;19676;20218;20249;20815;20474;20038;19541;19876;20111;20278;20455;20828;21323;22026;22629;23261;23791;23993;26162;26557;26967;27227;27682;28035;28342;28816;29366;31431;35422;35614;36406;37240;38132;38863;38863
48073;Cherokee County;32008;33700;34700;35000;35500;35200;35100;35200;35700;36800;38127;38643;38856;39371;39933;40089;40639;40841;40885;41224;41003;40720;40661;40833;40707;42085;42449;42807;43306;43653;46712;46722;46671;47121;47384;47577;47803;48118;48235;48473;50915;51020;51218;51005;51052;51542;51542
48075;Childress County;6605;6400;6500;6400;6400;6600;6600;6600;6600;6700;6950;6893;6937;6885;6784;6531;6422;6449;6181;5955;5952;5945;6217;6286;6259;7665;7670;7693;7586;7543;7688;7599;7544;7562;7587;7471;7531;7537;7562;7548;7063;7010;7083;7048;7065;7088;7088
48077;Clay County;8079;8500;8700;7200;8400;8400;8400;8700;8900;9100;9582;9628;10016;10243;10304;10294;10159;9986;10072;10105;9996;9770;9647;9814;9987;10115;10387;10449;10534;10511;11076;11154;11321;11309;11321;11363;11205;11116;10933;10893;10732;10683;10517;10452;10381;10360;10360
48079;Cochran County;5326;5600;5600;5200;5000;5000;5100;4900;4900;4900;4825;4760;4890;4613;4589;4625;4337;4279;4252;4420;4372;4165;4205;4111;4119;4136;4038;3925;3918;3781;3706;3655;3487;3434;3306;3252;3155;3087;2979;2927;3137;3070;3020;2998;2923;2953;2953
48081;Coke County;3087;3100;3200;3100;3100;3200;3200;3200;3200;3200;3196;3381;3546;3744;3743;3673;3579;3554;3607;3475;3401;3387;3364;3389;3414;3341;3378;3393;3375;3351;3849;3819;3757;3712;3604;3588;3568;3388;3356;3311;3319;3282;3221;3206;3242;3238;3238
48083;Coleman County;10288;10300;10200;9900;10300;10400;10400;10500;10500;10600;10439;10556;10578;10740;10920;10617;10381;10125;10026;9831;9675;9413;9522;9524;9574;9582;9657;9700;9514;9443;9178;9068;8858;8715;8656;8536;8606;8492;8578;8480;8878;8738;8667;8526;8413;8338;8338
48085;Collin County;66920;70200;75700;86200;94800;99300;105000;113700;124900;135900;144576;153957;164703;175366;189057;204221;218233;230458;242017;253558;266638;278048;290426;307843;327043;347792;372266;400571;428345;456612;500162;537779;568810;596599;627748;659840;699675;732986;763438;791631;788629;814698;837480;858717;886052;914127;914127
48087;Collingsworth County;4755;4500;4400;4500;4600;4600;4600;4700;4600;4700;4648;4632;4596;4392;4349;4098;3895;3797;3786;3644;3550;3501;3513;3465;3364;3351;3297;3314;3267;3172;3193;3102;3101;3030;3028;2979;2948;2969;3010;3058;3055;3098;3027;3098;3024;3044;3044
48089;Colorado County;17638;17100;17000;17200;17400;17100;17300;17400;17600;18200;18823;19319;19884;20239;20424;20424;20153;19566;19066;18425;18367;18261;18344;18338;18505;18530;18584;18874;18909;19052;20342;20192;20363;20502;20413;20415;20509;20523;20672;20650;20884;20807;20692;20739;20675;20870;20870
48091;Comal County;24165;25700;27600;28800;29200;30100;31100;32600;33800;35300;36446;37704;39057;40875;42951;45098;47111;49110;50121;51567;51943;53228;55282;57502;60825;63867;67578;70446;73519;76770;78748;81434;84247;86955;90995;94677;100243;105234;110119;114525;109299;112059;114931;118682;123439;129048;129048
48093;Comanche County;11898;11900;12000;11900;12100;12200;12200;12200;12300;12400;12617;12833;13119;13474;13450;13378;13388;13289;13445;13305;13366;13289;13347;13478;13368;13417;13498;13556;13530;13584;13994;13668;13498;13400;13482;13528;13549;13471;13478;13559;13963;13881;13727;13574;13502;13430;13430
48095;Concho County;2937;3100;3100;2900;2800;2800;2800;2800;2800;2900;2915;3019;3096;3119;3160;3073;3060;2943;2927;2983;3060;3052;3073;3123;3115;3060;3095;3088;3098;3002;3954;3860;3818;3783;3742;3703;3569;3584;3616;3579;4098;4140;4065;4098;4045;4081;4081
48097;Cooke County;23471;24000;24100;24500;25300;25700;25700;25600;25800;26600;27656;28438;28894;29028;29174;29397;29623;30536;30689;30051;30951;30605;30950;30860;31276;31684;32162;32829;32919;33391;36462;36898;37457;37685;37918;38251;38366;38422;38430;38650;38456;38403;38790;38553;38828;39229;39229
48099;Coryell County;35311;36900;42300;50300;52400;51500;56500;56900;57900;57500;56767;57472;59496;59235;57608;60121;58620;60858;62316;63638;64355;61622;64294;67436;71965;73208;73735;73572;73822;73629;75010;73772;73341;73573;72666;73148;71741;72605;73062;72529;75604;76610;76860;76162;75507;75503;75503
48101;Cottle County;3204;3000;2900;3000;2900;3000;3000;3000;3000;2900;2947;2846;2845;2823;2794;2706;2528;2450;2386;2322;2219;2153;2098;2077;2038;2005;1980;1947;1917;1889;1890;1783;1738;1710;1702;1671;1605;1542;1566;1566;1506;1509;1485;1449;1427;1426;1426
48103;Crane County;4172;4200;4100;4100;4000;4200;4300;4400;4400;4500;4600;4812;5115;5513;5458;5241;5260;4878;4752;4673;4630;4712;4635;4543;4582;4450;4474;4456;4445;4290;3949;3891;3867;3804;3801;3742;3738;3862;4021;4165;4380;4365;4564;4746;4927;5048;5048
48105;Crockett County;3885;4200;4300;4000;4000;4300;4200;4300;4600;4600;4608;4953;5155;5166;4941;4720;4625;4480;4239;4107;4071;4112;4061;4145;4200;4333;4348;4502;4503;4396;4026;3861;3858;3875;3870;3859;3746;3782;3792;3740;3709;3673;3711;3752;3781;3710;3710
48107;Crosby County;9085;9100;9100;9000;9000;9100;8900;8800;8800;8700;8859;8855;8560;8507;8320;8014;7731;7474;7393;7352;7325;7254;7208;7201;7270;7301;7321;7335;7225;7056;7056;6960;6854;6719;6627;6519;6472;6249;6210;6109;6045;6085;6096;5988;5888;5977;5977
48109;Culberson County;3429;3400;3400;3300;3400;3400;3400;3400;3400;3400;3315;3402;3574;3675;3729;3600;3555;3589;3482;3357;3404;3258;3201;3195;3241;3209;3171;3104;3006;3018;2944;2854;2812;2754;2665;2611;2545;2491;2435;2300;2399;2378;2307;2292;2266;2236;2236
48111;Dallam County;6012;5900;6200;6300;6300;6400;6500;6600;6600;6600;6531;6621;6587;6388;6378;6225;6091;5702;5508;5543;5452;5509;5545;5670;5902;6297;6264;6385;6553;6627;6227;6178;6094;6046;6071;6066;6002;6137;6265;6293;6744;6834;6983;7025;7108;7121;7121
48113;Dallas County;1327696;1351100;1353300;1370400;1398000;1426800;1459500;1476500;1497500;1522100;1556419;1597905;1637637;1678364;1713907;1760803;1805314;1816641;1814458;1832113;1860388;1891099;1909824;1926440;1941621;1961007;1986996;2016929;2045309;2062100;2225371;2267590;2280415;2287070;2297435;2316657;2353448;2381873;2411921;2451730;2373464;2409778;2456444;2485781;2519625;2553385;2553385
48115;Dawson County;16604;16500;16800;16500;16500;16400;16500;16600;16500;16300;16184;16384;16645;16619;15884;15931;16009;15011;14941;14637;14297;14152;14096;15103;15059;15356;15126;14711;14630;14442;14941;14854;14411;14325;14011;14030;13925;13806;13735;13657;13835;13788;13648;13250;13505;13520;13520
48117;Deaf Smith County;18999;19000;18800;19700;19800;20100;20600;20800;20900;21100;21165;21100;20566;20616;20791;20095;19887;19700;19343;19184;19172;18805;18768;19054;19094;19230;19204;19195;19071;18800;18492;18294;18259;18171;18311;18294;18253;18339;18420;18353;19446;19486;19373;19213;19201;18952;18952
48119;Delta County;4927;4800;4800;4900;5000;4900;4900;4800;4800;4800;4839;4803;4855;4943;4966;4779;4782;4794;4861;5065;4803;4816;4738;4677;4755;4831;4901;4947;4946;4973;5337;5327;5432;5390;5508;5433;5500;5371;5455;5410;5238;5198;5298;5186;5218;5217;5217
48121;Denton County;75633;81300;89500;101000;106600;106300;109400;116000;125400;134800;143126;154322;166463;176180;192176;211105;228790;242476;252657;261883;276203;284610;294288;305439;319517;333105;347804;363925;383369;404074;438994;464862;489526;512229;533323;558026;589882;615172;637516;658616;666962;685861;708300;729690;754792;780612;780612
48123;DeWitt County;18660;18800;18800;18500;18500;18400;18400;18500;18300;18500;18903;19033;19670;19905;19966;19762;19738;19242;18976;18958;18785;18458;18419;18331;18215;19554;19651;19672;19574;19275;19980;20076;19977;19947;20044;20162;19885;19719;19626;19713;20058;20302;20455;20480;20668;20797;20797
48125;Dickens County;3737;3800;3900;3600;3400;3500;3500;3600;3600;3500;3539;3381;3317;3282;3148;3075;2879;2803;2762;2748;2534;2447;2461;2448;2404;2341;2314;2266;2236;2176;2729;2666;2698;2681;2652;2579;2489;2471;2416;2439;2445;2398;2314;2282;2205;2206;2206
48127;Dimmit County;9039;9300;9900;9700;10000;10500;10800;11200;11400;11500;11367;11759;11948;12019;11961;11742;11616;11284;11095;10631;10388;10652;10483;10531;10652;10424;10358;10429;10410;10349;10208;10063;10055;10068;9942;9988;9902;9764;9739;9772;10036;10096;10471;10868;10995;10980;10980
48129;Donley County;3641;3900;3700;4000;3800;3800;3900;3800;3900;3900;4075;4131;4169;4270;4175;4044;4020;3877;3819;3788;3671;3553;3548;3634;3729;3833;3835;3801;3833;3827;3829;3852;3849;3921;3941;3862;3808;3826;3715;3664;3731;3685;3657;3576;3522;3499;3499
48131;Duval County;11722;12100;12400;12200;11900;12100;11900;12100;12100;12200;12517;12693;13083;13546;13529;13649;13889;13634;13459;13118;12858;12744;12724;12716;12794;13396;13374;13566;13624;13647;13042;12889;12760;12611;12583;12479;12335;12146;12026;12010;11721;11793;11582;11605;11519;11388;11388
48133;Eastland County;18092;18700;18900;18500;18400;18600;18900;18900;18800;19000;19480;20299;20841;21381;21028;20562;20324;19844;19336;18761;18408;18260;17976;17958;17809;17935;17883;17743;17628;17489;18302;18031;18178;18213;18281;18320;18277;18325;18212;18167;18589;18580;18410;18250;18230;18171;18171
48135;Ector County;92660;93600;94500;93300;96700;99600;102400;104700;108200;111400;115374;123418;135501;138041;134006;133225;133588;125180;122067;119722;118688;120124;121346;121480;121880;121779;122430;122773;124794;123748;120685;120591;121768;122021;123243;124187;126076;128874;131180;134625;137078;139733;144552;149666;154399;159436;159436
48137;Edwards County;2107;2000;1900;1800;1900;2000;1900;2000;1900;2000;2033;2146;2218;2269;2262;2225;2218;2189;2219;2175;2284;2255;2473;2765;3011;3164;3496;3611;3657;3668;2141;2050;2016;1983;1952;1918;1887;1928;1944;1863;1997;1971;1972;1876;1879;1894;1894
48139;Ellis County;46638;47400;49100;50600;52300;52500;53000;54200;55500;57400;59743;61067;62621;65246;68408;73050;77032;80585;82735;84491;85387;86564;88166;90025;91863;94013;97175;100537;103734;107580;112394;115709;119498;123679;127171;131764;137523;142809;147909;151737;150376;152406;153779;156110;159365;163632;163632
48141;El Paso County;359291;369200;378400;398200;411500;427300;440300;450000;460600;472300;479899;497523;511892;521038;529668;538809;549592;559479;568804;580982;595965;611299;624906;642744;657866;668890;674005;685388;694603;701908;680942;684780;688771;694672;702433;708683;720756;727828;738416;751296;803638;820015;831864;832457;835545;835593;835593
48143;Erath County;18141;18300;18800;19400;20100;19900;20000;20500;21000;21800;22560;23198;23921;24607;25487;25678;25896;26878;27454;27669;28053;28340;28534;29053;29877;30363;30742;31344;31367;31469;33052;32877;33315;33641;34226;34490;35319;35482;35793;36184;37887;38987;39470;39999;40617;41122;41122
48145;Falls County;17300;17600;18000;17700;17600;17400;17400;17100;17100;17300;17946;17978;18321;18490;18516;18041;18101;17786;17650;17725;17708;17501;17541;17832;17844;17714;17818;17665;17500;17263;18517;18159;17850;17765;17636;17475;17334;16857;16794;16782;17882;17869;17605;17260;17176;17142;17142
48147;Fannin County;22705;22900;23000;23700;23500;23600;23000;23200;23300;23600;24285;24266;24324;24631;24924;24672;24633;24785;25035;24866;24793;24506;24519;24860;25059;26640;27555;27864;28366;28677;31342;31307;31588;32062;32247;32659;32870;32872;33018;32999;33912;33925;33692;33653;33776;33693;33693
48149;Fayette County;17650;17700;18000;17400;17200;17200;17300;17400;17700;18400;18832;19775;20962;20957;20752;21356;21743;21440;21074;20278;20017;19914;20280;20591;20807;21025;20992;21033;21276;21390;21830;22193;22274;22315;22332;22366;22472;22566;22805;22891;24528;24747;24725;24794;24870;25110;25110
48151;Fisher County;6344;6300;6400;6100;6000;5900;6000;6100;6000;6000;5891;5853;5833;5982;5637;5613;5320;5330;5275;4961;4817;4639;4572;4506;4460;4518;4442;4321;4273;4190;4335;4234;4202;4129;4046;4041;3998;3948;3907;3866;3954;3955;3837;3842;3828;3827;3827
48153;Floyd County;11044;10800;10700;10500;10100;10400;10100;10000;9700;9600;9834;9679;9526;9103;9062;8887;8466;8493;8475;8614;8467;8449;8424;8226;8152;8221;8222;8187;8201;8112;7737;7452;7290;7362;7131;6970;6840;6640;6493;6474;6405;6384;6365;6266;5972;5901;5901
48155;Foard County;2211;2400;2300;2300;2200;2100;2200;2100;2100;2100;2158;2136;2125;2077;2038;2062;2016;1943;1971;1823;1781;1740;1697;1676;1666;1706;1717;1702;1676;1631;1609;1623;1550;1527;1507;1457;1453;1398;1360;1334;1338;1354;1308;1272;1268;1220;1220
48157;Fort Bend County;52314;56400;61400;70000;73600;80600;86400;96300;106900;118600;130962;142092;157335;172517;182145;191195;195440;197373;202503;214217;228383;241522;255094;267709;279344;291254;306121;320162;336822;353697;358759;375122;396554;416208;437642;458234;484522;508260;532609;556870;590581;607482;626808;654626;686650;716087;716087
48159;Franklin County;5291;5500;5700;5500;5600;6000;6000;6200;6400;6700;6893;7144;7259;7415;7511;7541;7717;7685;7608;7619;7851;7913;7989;8361;8642;8976;9305;9554;9736;9945;9467;9595;9624;9699;9859;10906;10943;11028;10856;10841;10600;10535;10626;10591;10593;10651;10651
48161;Freestone County;11116;11700;12200;12600;12900;13300;13100;13500;13900;14400;14830;15418;15825;16546;16865;17123;17246;16782;16379;15960;15799;15738;15680;16617;16664;17318;17438;17529;17646;17647;17912;18095;18314;18333;18484;18582;18811;18820;19077;19390;19810;19599;19439;19556;19647;19691;19691
48163;Frio County;11159;11200;11300;11700;11800;13600;13500;14000;13900;13800;13785;13777;14155;14141;13967;13893;13596;13660;13435;13306;13548;14382;15149;15228;15329;15603;15781;15798;15837;15918;16194;16214;16294;16204;16161;16141;16140;16104;16138;16156;17246;17468;17836;18168;18577;18793;18793
48165;Gaines County;11593;11600;11400;11500;11600;12100;12200;12300;12400;12700;13150;13649;14011;14373;14554;15027;14864;14130;13951;14071;14106;14141;14182;14145;14401;14558;14630;14716;14871;14767;14438;14246;14074;14178;14226;14382;14559;14807;15071;15382;17570;18021;18381;18846;19279;20051;20051
48167;Galveston County;169812;173000;175100;175200;176200;178800;184900;189400;191700;194800;195738;201604;208781;213335;213410;214651;213436;210864;211351;213305;218346;222881;227336;231932;234275;236990;239739;242310;244993;248469;250719;254545;260102;265136;269569;274494;278865;283540;288489;286814;292538;295611;301395;307303;314283;322225;322225
48169;Garza County;5289;5200;5300;5400;5300;5300;5300;5300;5300;5400;5336;5612;5802;5910;5823;5785;5710;5620;5302;5171;5132;5047;4978;4995;4780;4659;4666;4691;4602;4515;4859;5032;4982;4943;5007;4789;4864;4744;4659;4659;6468;6577;6456;6411;6445;6415;6415
48171;Gillespie County;10553;11000;11600;11300;11600;11900;12300;12300;12700;13200;13532;13923;14409;14942;15583;15756;16298;16651;16778;17070;17226;17447;17853;18547;18865;19207;19466;19775;19994;20396;20911;21092;21543;22032;22321;22664;23242;23484;23872;24180;24876;25029;25159;25330;25509;25963;25963
48173;Glasscock County;1155;1100;1100;1100;1100;1100;1100;1100;1100;1200;1304;1274;1298;1378;1419;1411;1321;1370;1442;1432;1443;1462;1436;1512;1472;1422;1396;1415;1382;1443;1401;1345;1332;1324;1283;1265;1195;1162;1211;1221;1231;1233;1258;1243;1291;1315;1315
48175;Goliad County;4869;5000;5000;5000;4900;4800;4800;4800;4800;5000;5193;5324;5541;5876;5813;5818;5791;5864;5877;6003;5964;6014;6026;6083;6066;6342;6542;6814;6989;7125;6974;6997;7009;7067;6987;6969;6999;7001;7029;7033;7223;7208;7338;7464;7507;7531;7531
48177;Gonzales County;16375;16800;16800;16800;16600;16800;16700;16700;16400;16600;16949;17518;18569;18768;18645;18571;18493;18374;17861;17598;17114;17233;17163;17188;17337;17380;17455;17522;17485;17561;18673;18702;18850;19122;19299;19559;19513;19372;19498;19610;19795;19763;19936;20174;20413;20573;20573
48179;Gray County;26949;26800;25700;25100;25000;25300;25400;25300;25100;25600;26386;27126;28243;28451;27969;27693;26963;25726;24749;24714;23785;23563;23494;23508;23296;23330;23857;23646;23593;23299;22578;22094;21762;21511;21220;21356;21596;21830;22101;22074;22459;22575;22818;22895;23419;23210;23210
48181;Grayson County;83225;80700;77000;77200;79200;82200;84100;84100;84800;87500;89796;91140;91857;92562;93722;94827;96787;95717;95246;95499;95005;95582;95292;95911;96829;97792;99892;100670;102019;103728;110993;112375;113256;114358;114908;115526;117030;118191;118786;120030;121042;121249;121601;122165;123419;125467;125467
